,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
1993-04-19,44.9375,45.0625,44.71875,44.75,26.400970458984375,157000,SPY,27.510132,26.271926879882812,-0.1290435791015625,0.0
1993-04-20,44.6875,44.75,44.25,44.53125,26.271926879882812,279500,SPY,27.275034,26.25347328186035,-0.018453598022460938,0.0
1993-04-30,44.125,44.28125,44.03125,44.03125,25.9769229888916,88500,SPY,26.935442,26.14285659790039,0.16593360900878906,0.0
1993-05-07,44.46875,44.46875,44.28125,44.34375,26.161293029785156,68000,SPY,27.00361,26.216604232788086,0.05531120300292969,0.0
1993-05-17,44.125,44.15625,43.9375,44.15625,26.050670623779297,34000,SPY,27.1773,26.032249450683594,-0.018421173095703125,0.0
1993-05-20,45.03125,45.15625,44.9375,45.15625,26.640649795532227,98200,SPY,27.254786,26.400970458984375,-0.23967933654785156,0.0
1993-06-03,45.5,45.5,45.34375,45.4375,26.806583404541016,21600,SPY,27.539251,26.714401245117188,-0.09218215942382812,0.0
1993-06-04,45.3125,45.3125,45.09375,45.28125,26.714401245117188,32000,SPY,27.29604,26.622203826904297,-0.09219741821289062,0.0
1993-06-16,44.9375,45.03125,44.8125,45.03125,26.566883087158203,330900,SPY,27.386745,26.65907096862793,0.09218788146972656,0.0
1993-06-18,44.84375,44.84375,44.5,44.5,26.43953514099121,58500,SPY,27.467468,26.495237350463867,0.05570220947265625,0.0
1993-06-30,45.125,45.21875,45.0,45.0625,26.77374839782715,437600,SPY,27.392002,26.699480056762695,-0.07426834106445312,0.0
1993-07-02,44.78125,44.8125,44.53125,44.6875,26.550939559936523,285400,SPY,27.49377,26.27242660522461,-0.27851295471191406,0.0
1993-07-21,44.78125,44.8125,44.65625,44.8125,26.625213623046875,142700,SPY,27.586061,26.43953514099121,-0.18567848205566406,0.0
1993-07-22,44.75,44.8125,44.5,44.5,26.43953514099121,632400,SPY,27.35424,26.569501876831055,0.12996673583984375,0.0
1993-07-23,44.59375,44.71875,44.5625,44.71875,26.569501876831055,286200,SPY,27.296309,26.71805191040039,0.14855003356933594,0.0
1993-07-30,45.09375,45.09375,44.78125,44.84375,26.643789291381836,75300,SPY,27.574379,26.71805191040039,0.07426261901855469,0.0
1993-09-20,45.875,45.96875,45.4375,45.4375,27.164764404296875,57800,SPY,28.072424,27.071350097656246,-0.09341430664062855,0.0
1993-09-24,45.84375,45.875,45.71875,45.78125,27.37027931213379,53500,SPY,28.04224,27.66920280456543,0.2989234924316406,0.0
1993-10-11,46.15625,46.25,46.15625,46.15625,27.5944766998291,467100,SPY,28.425198,27.6318359375,0.03735923767089844,0.0
1993-10-21,46.6875,46.6875,46.53125,46.59375,27.85603904724121,56200,SPY,28.76059,27.725244522094723,-0.13079452514648793,0.0
1993-11-01,46.78125,47.0,46.78125,46.96875,28.080211639404297,36400,SPY,28.553879,28.061532974243164,-0.018678665161132812,0.0
1993-11-03,46.90625,46.90625,46.125,46.34375,27.706565856933594,479100,SPY,28.597065,27.407634735107425,-0.2989311218261683,0.0
